match_id,ball,city,batting_team,toss_decision,target,bowling_team,current_score,runs_left,balls_left,wickets_left,crr,rrr,result
597,1,Chandigarh,Kings XI Punjab,field,189,Mumbai Indians,133,57,23,7,8.22680412371134,14.869565217391305,0
193,1,Chandigarh,Kings XI Punjab,field,183,Rajasthan Royals,112,72,47,7,9.205479452054794,9.191489361702128,0
168,5,Durban,Kolkata Knight Riders,field,101,Rajasthan Royals,20,82,97,8,5.217391304347826,5.072164948453608,1
11339,5,Hyderabad,Kings XI Punjab,field,232,Sunrisers Hyderabad,157,76,13,5,8.80373831775701,35.07692307692308,0
7900,3,Hyderabad,Sunrisers Hyderabad,field,155,Mumbai Indians,69,87,75,9,9.2,6.96,1
453,6,Hyderabad,Sunrisers Hyderabad,bat,130,Kolkata Knight Riders,108,23,24,6,6.75,5.75,1
11317,2,Kolkata,Delhi Capitals,field,183,Kolkata Knight Riders,40,144,100,9,12.0,8.64,1
487,5,Ahmedabad,Rajasthan Royals,field,134,Sunrisers Hyderabad,59,76,61,6,6.0,7.475409836065574,0
81,2,Chandigarh,Kolkata Knight Riders,bat,178,Kings XI Punjab,68,111,46,5,5.513513513513513,14.478260869565217,0
360,5,Mumbai,Royal Challengers Bangalore,field,141,Mumbai Indians,136,6,13,9,7.626168224299065,2.769230769230769,1
187,1,Ahmedabad,Kolkata Knight Riders,bat,168,Rajasthan Royals,132,37,5,7,6.886956521739131,44.4,0
11326,1,Kolkata,Kolkata Knight Riders,field,219,Royal Challengers Bangalore,14,206,113,9,12.0,10.938053097345133,0
569,6,Chandigarh,Chennai Super Kings,bat,130,Kings XI Punjab,40,91,90,8,8.0,6.066666666666666,1
7936,2,Jaipur,Rajasthan Royals,bat,188,Chennai Super Kings,101,88,52,7,8.911764705882353,10.153846153846153,1
206,5,Chennai,Rajasthan Royals,bat,246,Chennai Super Kings,114,133,55,8,10.523076923076923,14.50909090909091,0
42,5,Bangalore,Royal Challengers Bangalore,field,138,Kings XI Punjab,75,64,49,4,6.338028169014085,7.836734693877551,0
7947,5,Hyderabad,Kolkata Knight Riders,bat,183,Sunrisers Hyderabad,6,178,115,10,7.2,9.28695652173913,1
474,4,Sharjah,Chennai Super Kings,bat,145,Sunrisers Hyderabad,134,12,14,6,7.584905660377358,5.142857142857143,1
256,4,Chandigarh,Rajasthan Royals,field,195,Kings XI Punjab,26,170,98,8,7.090909090909091,10.408163265306122,0
70,3,Bangalore,Rajasthan Royals,field,135,Royal Challengers Bangalore,34,102,93,8,7.555555555555555,6.580645161290323,1
152,2,Kimberley,Chennai Super Kings,bat,140,Rajasthan Royals,78,63,46,8,6.324324324324325,8.217391304347826,1
340,5,Chandigarh,Mumbai Indians,bat,168,Kings XI Punjab,58,111,67,9,6.566037735849057,9.940298507462687,1
126,8,Cape Town,Kolkata Knight Riders,field,150,Rajasthan Royals,94,57,34,5,6.558139534883721,10.058823529411764,0
441,3,Ranchi,Kolkata Knight Riders,field,115,Royal Challengers Bangalore,56,60,63,8,5.894736842105263,5.714285714285714,1
311,5,Jaipur,Kings XI Punjab,field,191,Rajasthan Royals,31,161,97,10,8.08695652173913,9.958762886597938,0
230,4,Kolkata,Kolkata Knight Riders,bat,133,Mumbai Indians,121,13,20,9,7.26,3.9,1
354,6,Chandigarh,Kings XI Punjab,bat,177,Rajasthan Royals,68,110,54,6,6.181818181818182,12.222222222222221,0
187,2,Ahmedabad,Kolkata Knight Riders,bat,168,Rajasthan Royals,103,66,28,7,6.717391304347826,14.142857142857142,0
575,5,Ranchi,Chennai Super Kings,field,139,Royal Challengers Bangalore,2,138,115,10,2.4,7.2,1
507,5,Ranchi,Sunrisers Hyderabad,field,185,Chennai Super Kings,56,130,85,10,9.6,9.176470588235293,1
559,3,Chennai,Mumbai Indians,bat,158,Chennai Super Kings,89,70,45,7,7.12,9.333333333333334,1
7916,2,Mumbai,Mumbai Indians,field,130,Sunrisers Hyderabad,43,88,70,7,5.16,7.542857142857143,0
7930,3,Mumbai,Kolkata Knight Riders,field,187,Mumbai Indians,128,60,27,6,8.258064516129032,13.333333333333334,0
407,5,Bangalore,Royal Challengers Bangalore,field,117,Rajasthan Royals,42,76,91,10,8.689655172413794,5.010989010989011,1
127,1,Durban,Kings XI Punjab,bat,168,Royal Challengers Bangalore,95,74,41,8,7.215189873417722,10.829268292682928,1
371,3,Dharamsala,Kings XI Punjab,field,120,Chennai Super Kings,39,82,87,10,7.090909090909091,5.655172413793103,1
569,4,Chandigarh,Chennai Super Kings,bat,130,Kings XI Punjab,54,77,80,8,8.1,5.775,1
11314,6,Chennai,Chennai Super Kings,field,114,Kolkata Knight Riders,75,40,42,8,5.769230769230769,5.714285714285714,1
90,1,Bangalore,Mumbai Indians,field,122,Royal Challengers Bangalore,60,63,71,10,7.346938775510204,5.323943661971831,1
83,4,Jaipur,Rajasthan Royals,bat,109,Chennai Super Kings,61,49,74,10,7.956521739130435,3.972972972972973,1
126,5,Cape Town,Kolkata Knight Riders,field,150,Rajasthan Royals,67,84,61,7,6.813559322033898,8.262295081967213,0
320,3,Chennai,Chennai Super Kings,bat,205,Royal Challengers Bangalore,120,86,39,8,8.88888888888889,13.23076923076923,1
522,2,Kolkata,Royal Challengers Bangalore,field,177,Kolkata Knight Riders,171,7,10,3,9.327272727272728,4.2,1
246,4,Jaipur,Kolkata Knight Riders,field,159,Rajasthan Royals,66,94,80,9,9.9,7.05,1
330,3,Chandigarh,Kolkata Knight Riders,bat,124,Kings XI Punjab,18,107,105,10,7.2,6.114285714285714,1
322,1,Kolkata,Kolkata Knight Riders,bat,131,Rajasthan Royals,131,1,5,5,6.834782608695652,1.2,1
600,3,Mumbai,Mumbai Indians,field,174,Kolkata Knight Riders,122,53,33,6,8.413793103448276,9.636363636363637,1
7921,5,Jaipur,Rajasthan Royals,bat,152,Sunrisers Hyderabad,109,44,25,6,6.88421052631579,10.56,0
7933,6,Jaipur,Kings XI Punjab,bat,161,Rajasthan Royals,107,55,18,5,6.294117647058823,18.333333333333332,0
105,2,Kolkata,Rajasthan Royals,field,147,Kolkata Knight Riders,2,146,118,10,6.0,7.423728813559322,1
7947,3,Hyderabad,Kolkata Knight Riders,bat,183,Sunrisers Hyderabad,18,166,111,10,12.0,8.972972972972974,1
391,5,Chandigarh,Chennai Super Kings,field,138,Kings XI Punjab,14,125,103,10,4.9411764705882355,7.281553398058253,1
223,3,Jaipur,Royal Challengers Bangalore,bat,130,Rajasthan Royals,69,62,75,8,9.2,4.96,1
608,3,Kolkata,Kings XI Punjab,field,164,Kolkata Knight Riders,3,162,111,9,2.0,8.756756756756756,0
584,3,Hyderabad,Kolkata Knight Riders,bat,142,Sunrisers Hyderabad,13,130,105,10,5.2,7.428571428571429,1
457,2,Kolkata,Chennai Super Kings,bat,148,Mumbai Indians,39,110,76,5,5.318181818181818,8.68421052631579,0
7922,4,Bengaluru,Kolkata Knight Riders,field,185,Royal Challengers Bangalore,18,168,110,10,10.8,9.163636363636364,1
322,6,Kolkata,Kolkata Knight Riders,bat,131,Rajasthan Royals,44,88,78,9,6.285714285714286,6.769230769230769,1
453,3,Hyderabad,Sunrisers Hyderabad,bat,130,Kolkata Knight Riders,2,129,117,10,4.0,6.615384615384615,1
206,2,Chennai,Rajasthan Royals,bat,246,Chennai Super Kings,210,37,10,6,11.454545454545455,22.2,0
11,3,Kolkata,Kolkata Knight Riders,field,170,Kings XI Punjab,139,32,39,8,10.296296296296296,4.923076923076923,1
330,5,Chandigarh,Kolkata Knight Riders,bat,124,Kings XI Punjab,74,51,61,8,7.52542372881356,5.016393442622951,1
521,3,Chennai,Sunrisers Hyderabad,bat,209,Chennai Super Kings,108,102,33,7,7.448275862068965,18.545454545454547,0
184,5,Bangalore,Royal Challengers Bangalore,field,92,Rajasthan Royals,35,58,103,10,12.352941176470589,3.378640776699029,1
509,2,Chandigarh,Rajasthan Royals,field,179,Kings XI Punjab,79,101,46,6,6.405405405405405,13.173913043478262,0
302,1,Bangalore,Royal Challengers Bangalore,field,128,Chennai Super Kings,113,16,23,8,6.989690721649485,4.173913043478261,1
7930,6,Mumbai,Kolkata Knight Riders,field,187,Mumbai Indians,154,34,12,5,8.555555555555555,17.0,0
11336,1,Jaipur,Rajasthan Royals,field,169,Sunrisers Hyderabad,79,91,65,9,8.618181818181819,8.4,1
11150,6,Jaipur,Rajasthan Royals,field,164,Royal Challengers Bangalore,85,80,60,9,8.5,8.0,1
11138,2,Kolkata,Kolkata Knight Riders,field,189,Sunrisers Hyderabad,0,190,118,10,0.0,9.661016949152541,1
181,4,Bangalore,Royal Challengers Bangalore,bat,203,Kings XI Punjab,158,46,26,8,10.085106382978724,10.615384615384615,1
600,2,Mumbai,Mumbai Indians,field,174,Kolkata Knight Riders,96,79,52,7,8.470588235294118,9.115384615384615,1
7934,5,Kolkata,Kolkata Knight Riders,field,217,Mumbai Indians,39,179,91,8,8.068965517241379,11.802197802197803,0
11312,4,Jaipur,Kolkata Knight Riders,field,150,Rajasthan Royals,70,81,80,10,10.5,6.075,1
166,6,Centurion,Kolkata Knight Riders,bat,188,Chennai Super Kings,56,133,84,9,9.333333333333334,9.5,1
518,4,Kolkata,Kolkata Knight Riders,field,168,Mumbai Indians,114,55,38,8,8.341463414634147,8.68421052631579,1
305,2,Mumbai,Mumbai Indians,field,147,Kolkata Knight Riders,137,11,10,4,7.472727272727273,6.6,1
11137,5,Chennai,Chennai Super Kings,field,74,Royal Challengers Bangalore,11,64,97,9,2.869565217391304,3.9587628865979383,1
145,5,Durban,Kings XI Punjab,field,211,Rajasthan Royals,65,147,55,5,6.0,16.036363636363635,0
182,6,Kolkata,Kolkata Knight Riders,bat,164,Chennai Super Kings,49,116,78,6,7.0,8.923076923076923,0
575,6,Ranchi,Chennai Super Kings,field,139,Royal Challengers Bangalore,34,106,84,9,5.666666666666667,7.571428571428571,1
219,1,Jaipur,Rajasthan Royals,field,174,Mumbai Indians,0,175,119,10,0.0,8.823529411764707,0
11141,4,Delhi,Chennai Super Kings,bat,154,Delhi Capitals,117,38,44,8,9.236842105263158,5.181818181818182,1
471,3,Abu Dhabi,Rajasthan Royals,field,70,Royal Challengers Bangalore,36,35,81,7,5.538461538461538,2.5925925925925926,1
215,2,Chandigarh,Kings XI Punjab,bat,154,Mumbai Indians,147,8,10,7,8.018181818181818,4.8,1
12,6,Bangalore,Mumbai Indians,field,142,Royal Challengers Bangalore,31,112,78,6,4.428571428571429,8.615384615384615,1
7942,3,Kolkata,Kolkata Knight Riders,field,144,Rajasthan Royals,22,123,105,9,8.8,7.0285714285714285,1
61,6,Chandigarh,Kings XI Punjab,bat,240,Chennai Super Kings,191,50,12,6,10.61111111111111,25.0,0
617,6,Bangalore,Mumbai Indians,field,151,Royal Challengers Bangalore,2,150,114,10,2.0,7.894736842105263,1
559,1,Chennai,Mumbai Indians,bat,158,Chennai Super Kings,24,135,101,10,7.578947368421052,8.01980198019802,1
478,5,Ranchi,Kolkata Knight Riders,bat,148,Chennai Super Kings,39,110,85,6,6.685714285714286,7.764705882352941,0
11153,6,Bengaluru,Kolkata Knight Riders,field,210,Royal Challengers Bangalore,163,48,18,6,9.588235294117647,16.0,1
105,3,Kolkata,Rajasthan Royals,field,147,Kolkata Knight Riders,17,131,105,9,6.8,7.485714285714286,1
280,7,Bangalore,Kings XI Punjab,field,205,Royal Challengers Bangalore,20,186,101,8,6.315789473684211,11.049504950495049,0
7952,3,Kolkata,Kolkata Knight Riders,field,179,Sunrisers Hyderabad,116,64,39,5,8.592592592592593,9.846153846153847,0
7952,2,Kolkata,Kolkata Knight Riders,field,179,Sunrisers Hyderabad,70,110,82,9,11.052631578947368,8.048780487804878,0
11323,2,Mohali,Rajasthan Royals,field,190,Kings XI Punjab,139,52,22,7,8.510204081632653,14.181818181818182,0
450,6,Dharamsala,Mumbai Indians,field,183,Kings XI Punjab,56,128,78,8,8.0,9.846153846153847,0
453,4,Hyderabad,Sunrisers Hyderabad,bat,130,Kolkata Knight Riders,69,62,68,10,7.961538461538462,5.470588235294118,1
398,6,Jaipur,Rajasthan Royals,field,124,Kings XI Punjab,76,49,48,7,6.333333333333333,6.125,1
58,2,Bangalore,Mumbai Indians,field,107,Kolkata Knight Riders,11,97,112,10,8.25,5.196428571428571,1
522,5,Kolkata,Royal Challengers Bangalore,field,177,Kolkata Knight Riders,97,81,49,6,8.19718309859155,9.918367346938776,1
246,1,Jaipur,Kolkata Knight Riders,field,159,Rajasthan Royals,100,60,53,9,8.955223880597014,6.7924528301886795,1
551,3,Hyderabad,Chennai Super Kings,field,192,Sunrisers Hyderabad,102,91,51,7,8.869565217391305,10.705882352941176,0
507,5,Ranchi,Sunrisers Hyderabad,field,185,Chennai Super Kings,42,144,91,10,8.689655172413794,9.494505494505495,1
10,3,Mumbai,Mumbai Indians,field,158,Sunrisers Hyderabad,91,68,51,7,7.913043478260869,8.0,1
396,5,Chennai,Chennai Super Kings,field,165,Royal Challengers Bangalore,63,103,61,8,6.406779661016949,10.131147540983607,1
407,3,Bangalore,Royal Challengers Bangalore,field,117,Rajasthan Royals,56,62,75,9,7.466666666666667,4.96,1
